cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 5, 0, 2, 1, 0.999, 0, 0, 0, 1
2, 5, 0, 3, 1, 0.9989, 0, 0, 0, 1
3, 13, 9, 3, 1, 0.9988, 9, 3, 0, 1
4, 13, 0, 0, 1, 0.9987, 9, 2.25, 0, 1
5, 13, 0, 1, 1, 0.9986, 9, 1.8, 0, 1
6, 5, 9, 3, 1, 0.998501, 18, 3, 0, 1
7, 13, 9, 3, 1, 0.998401, 27, 3.85714, 0, 1
8, 13, 0, 2, 1, 0.998301, 27, 3.375, 0, 1
9, 13, 0, 2, 1, 0.998201, 27, 3, 0, 1
[...]
4991, 5, 0, 2, 1, 0.606515, 27734, 5.5568, 0, 2439082
4992, 5, 0, 1, 1, 0.606455, 27734, 5.55569, 0, 2439368
4993, 2, 9, 1, 1, 0.606394, 27743, 5.55638, 0, 2439576
4994, 2, 0, 1, 1, 0.606333, 27743, 5.55527, 0, 2439909
4995, 2, 0, 3, 1, 0.606273, 27743, 5.55415, 0, 2440355
4996, 5, 9, 0, 1, 0.606212, 27752, 5.55484, 0, 2440705
4997, 5, 0, 2, 1, 0.606151, 27752, 5.55373, 0, 2441122
4998, 5, 0, 3, 1, 0.606091, 27752, 5.55262, 0, 2441460
4999, 5, 20, 3, 0, 0.60603, 27772, 5.55551, 1.48, 2443199
5000, 13, 9, 1, 0, 0.60597, 27781, 5.5562, 1.49, 2443545
5001, 5, 9, 1, 0, 0.605909, 27790, 5.55689, 1.5, 2443657
5002, 3, 9, 2, 0, 0.605909, 27799, 5.55758, 1.5, 2443597
5003, 10, 9, 2, 0, 0.605909, 27808, 5.55827, 1.5, 2443189
5004, 2, 9, 2, 0, 0.605909, 27817, 5.55895, 1.52, 2443126
5005, 10, 9, 0, 0, 0.605909, 27826, 5.55964, 1.51, 2443315
5006, 2, 9, 3, 0, 0.605909, 27835, 5.56033, 1.51, 2443359
5007, 5, 9, 3, 0, 0.605909, 27844, 5.56101, 1.51, 2443976
5008, 5, 20, 3, 0, 0.605909, 27864, 5.5639, 1.49, 2444813
5009, 13, 9, 1, 0, 0.605909, 27873, 5.56458, 1.5, 2444555
5010, 5, 9, 1, 0, 0.605909, 27882, 5.56527, 1.5, 2444113
[...]
9991, 5, 0, 3, 0, 0.605909, 78192, 7.82624, 1.51, 2529106
9992, 13, 20, 1, 0, 0.605909, 78212, 7.82746, 1.5, 2529894
9993, 5, 9, 1, 0, 0.605909, 78221, 7.82758, 1.52, 2529279
9994, 3, 9, 2, 0, 0.605909, 78230, 7.8277, 1.52, 2529305
9995, 10, 9, 2, 0, 0.605909, 78239, 7.82781, 1.52, 2528228
9996, 2, 9, 3, 0, 0.605909, 78248, 7.82793, 1.52, 2527645
9997, 5, 9, 3, 0, 0.605909, 78257, 7.82805, 1.52, 2527712
9998, 3, 20, 1, 0, 0.605909, 78277, 7.82927, 1.51, 2529134
9999, 3, 0, 2, 0, 0.605909, 78277, 7.82848, 1.51, 2528844
10000, 10, 9, 2, 0, 0.605909, 78286, 7.8286, 1.51, 2528049
10001, 2, 9, 3, 0, 0.605909, 78295, 7.82872, 1.52, 2527634
