cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 1, 0, 0.1, 0, 0, 0.02, 3
2, 1, 1, 0, 1, 0.0995, 1, 0.5, 0, 5
3, 0, 1, 0, 0, 0.0990025, 2, 0.666667, 0.03, 16
4, 1, 0, 1, 0, 0.0985075, 2, 0.5, 0.03, 22
5, 1, 1, 1, 0, 0.098015, 3, 0.6, 0.03, 20
6, 1, 1, 0, 1, 0.0975249, 4, 0.666667, 0, 21
7, 1, 0, 1, 0, 0.0970373, 4, 0.571429, 0.03, 21
8, 1, 1, 1, 0, 0.0965521, 5, 0.625, 0.03, 22
9, 1, 1, 1, 0, 0.0960693, 6, 0.666667, 0.03, 22
10, 1, 1, 1, 0, 0.095589, 7, 0.7, 0.03, 24
[...]
4990, 1, 1, 1, 0, 1.37832e-12, 3776, 0.756713, 0.04, 31
4991, 1, 1, 1, 0, 1.37143e-12, 3777, 0.756762, 0.03, 31
4992, 1, 1, 1, 0, 1.36457e-12, 3778, 0.756811, 0.03, 31
4993, 1, 1, 1, 0, 1.35775e-12, 3779, 0.75686, 0.04, 31
4994, 1, 1, 1, 0, 1.35096e-12, 3780, 0.756908, 0.03, 31
4995, 1, 1, 1, 0, 1.3442e-12, 3781, 0.756957, 0.03, 31
4996, 1, 1, 1, 0, 1.33748e-12, 3782, 0.757006, 0.04, 31
4997, 1, 1, 1, 0, 1.3308e-12, 3783, 0.757054, 0.03, 31
4998, 1, 1, 1, 0, 1.32414e-12, 3784, 0.757103, 0.03, 31
4999, 0, 0, 1, 0, 1.31752e-12, 3784, 0.756951, 0.04, 31
5000, 1, 1, 1, 0, 1.31093e-12, 3785, 0.757, 0.03, 31
5001, 1, 1, 1, 0, 1.30438e-12, 3786, 0.757049, 0.03, 31
5002, 1, 1, 1, 0, 1.30438e-12, 3787, 0.757097, 0.04, 31
5003, 1, 1, 1, 0, 1.30438e-12, 3788, 0.757146, 0.03, 31
5004, 1, 1, 1, 0, 1.30438e-12, 3789, 0.757194, 0.03, 31
5005, 0, 0, 1, 0, 1.30438e-12, 3789, 0.757043, 0.04, 31
5006, 1, 1, 1, 0, 1.30438e-12, 3790, 0.757091, 0.03, 31
5007, 1, 1, 1, 0, 1.30438e-12, 3791, 0.75714, 0.03, 31
5008, 1, 1, 1, 0, 1.30438e-12, 3792, 0.757188, 0.04, 31
5009, 0, 0, 1, 0, 1.30438e-12, 3792, 0.757037, 0.03, 31
5010, 1, 1, 1, 0, 1.30438e-12, 3793, 0.757086, 0.03, 31
[...]
9990, 1, 1, 1, 0, 1.30438e-12, 7767, 0.777477, 0.03, 31
9991, 1, 1, 1, 0, 1.30438e-12, 7768, 0.7775, 0.04, 31
9992, 0, 0, 1, 0, 1.30438e-12, 7768, 0.777422, 0.03, 31
9993, 1, 1, 1, 0, 1.30438e-12, 7769, 0.777444, 0.03, 31
9994, 1, 1, 1, 0, 1.30438e-12, 7770, 0.777466, 0.04, 31
9995, 0, 0, 1, 0, 1.30438e-12, 7770, 0.777389, 0.03, 31
9996, 1, 1, 1, 0, 1.30438e-12, 7771, 0.777411, 0.03, 31
9997, 1, 1, 1, 0, 1.30438e-12, 7772, 0.777433, 0.04, 31
9998, 1, 1, 1, 0, 1.30438e-12, 7773, 0.777455, 0.03, 31
9999, 0, 0, 1, 0, 1.30438e-12, 7773, 0.777378, 0.03, 31
10000, 1, 1, 1, 0, 1.30438e-12, 7774, 0.7774, 0.04, 31
10001, 1, 1, 1, 0, 1.30438e-12, 7775, 0.777422, 0.03, 31
