cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 2, 1, 0.99, 0, 0, 0, 1
2, 0, 0, 3, 1, 0.989901, 0, 0, 0, 1
3, 0, 99, 3, 1, 0.989802, 99, 33, 0, 1
4, 0, 0, 0, 1, 0.989703, 99, 24.75, 0, 1
5, 0, 0, 1, 1, 0.989604, 99, 19.8, 0, 1
6, 0, 130, 2, 1, 0.989505, 229, 38.1667, 0, 1
7, 0, 0, 3, 1, 0.989406, 229, 32.7143, 0, 1
8, 0, 99, 0, 1, 0.989307, 328, 41, 0, 1
9, 0, 0, 0, 1, 0.989208, 328, 36.4444, 0, 880
10, 0, 0, 3, 1, 0.989109, 328, 32.8, 0, 1637
[...]
4990, 0, 99, 2, 1, 0.601111, 277228, 55.5567, 0, 2441035
4991, 0, 130, 0, 0, 0.601051, 277358, 55.5716, 0.94, 2442118
4992, 1, 100, 2, 1, 0.600991, 277458, 55.5805, 0, 2442149
4993, 0, 0, 0, 0, 0.600931, 277458, 55.5694, 0.93, 2443582
4994, 1, 100, 2, 1, 0.600871, 277558, 55.5783, 0, 2444130
4995, 0, 0, 0, 1, 0.600811, 277558, 55.5672, 0, 2444635
4996, 1, 100, 0, 0, 0.600751, 277658, 55.5761, 0.93, 2445591
4997, 1, 100, 0, 0, 0.600691, 277758, 55.585, 0.94, 2446426
4998, 1, 100, 1, 1, 0.600631, 277858, 55.5938, 0, 2446735
4999, 0, 0, 0, 0, 0.60057, 277858, 55.5827, 0.93, 2447300
5000, 1, 100, 0, 0, 0.60051, 277958, 55.5916, 0.93, 2447655
5001, 1, 100, 0, 0, 0.60045, 278058, 55.6005, 0.93, 2448183
5002, 1, 100, 3, 0, 0.60045, 278158, 55.6094, 0.93, 2448718
5003, 0, 99, 2, 0, 0.60045, 278257, 55.618, 0.93, 2449430
5004, 0, 130, 0, 0, 0.60045, 278387, 55.6329, 0.93, 2449843
5005, 2, 100, 0, 0, 0.60045, 278487, 55.6418, 0.93, 2450561
5006, 1, 100, 0, 0, 0.60045, 278587, 55.6506, 0.92, 2451885
5007, 2, 100, 0, 0, 0.60045, 278687, 55.6595, 0.93, 2453451
5008, 2, 100, 0, 0, 0.60045, 278787, 55.6683, 0.93, 2454577
5009, 2, 100, 0, 0, 0.60045, 278887, 55.6772, 0.93, 2455434
5010, 2, 100, 0, 0, 0.60045, 278987, 55.686, 0.93, 2456058
[...]
9990, 1, 100, 0, 0, 0.60045, 776611, 77.7388, 0.93, 2473780
9991, 1, 100, 0, 0, 0.60045, 776711, 77.7411, 0.94, 2473422
9992, 1, 100, 0, 0, 0.60045, 776811, 77.7433, 0.94, 2473155
9993, 1, 100, 0, 0, 0.60045, 776911, 77.7455, 0.94, 2472998
9994, 1, 100, 0, 0, 0.60045, 777011, 77.7477, 0.94, 2472753
9995, 1, 100, 0, 0, 0.60045, 777111, 77.75, 0.94, 2472705
9996, 2, 100, 0, 0, 0.60045, 777211, 77.7522, 0.94, 2472885
9997, 1, 100, 0, 0, 0.60045, 777311, 77.7544, 0.93, 2473606
9998, 1, 100, 0, 0, 0.60045, 777411, 77.7567, 0.94, 2473654
9999, 1, 100, 0, 0, 0.60045, 777511, 77.7589, 0.93, 2473292
10000, 1, 100, 0, 0, 0.60045, 777611, 77.7611, 0.94, 2472965
10001, 1, 100, 3, 0, 0.60045, 777711, 77.7633, 0.94, 2472727
