cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 5, 0, 0, 1, 0.99, 0, 0, 0, 1
2, 4, 3, 1, 1, 0.989901, 3, 1.5, 0, 1
3, 5, 1, 0, 1, 0.989802, 4, 1.33333, 0, 1
4, 1, 3, 0, 1, 0.989703, 7, 1.75, 0, 1
5, 4, 0, 1, 1, 0.989604, 7, 1.4, 0, 1
6, 6, 1, 0, 1, 0.989505, 8, 1.33333, 0, 1
7, 6, 3, 1, 0, 0.989406, 11, 1.57143, 0.11, 263
8, 5, 3, 0, 1, 0.989307, 14, 1.75, 0, 495
9, 1, 0, 1, 1, 0.989208, 14, 1.55556, 0, 728
10, 0, 1, 1, 1, 0.989109, 15, 1.5, 0, 953
[...]
4990, 5, 1, 0, 0, 0.601111, 9444, 1.89259, 0.13, 730458
4991, 1, 3, 0, 1, 0.601051, 9447, 1.89281, 0, 730541
4992, 1, 0, 1, 1, 0.600991, 9447, 1.89243, 0, 730670
4993, 1, 1, 0, 1, 0.600931, 9448, 1.89225, 0, 730827
4994, 2, 4, 1, 0, 0.600871, 9452, 1.89267, 0.13, 731123
4995, 6, 1, 1, 1, 0.600811, 9453, 1.89249, 0, 731260
4996, 4, 3, 1, 1, 0.600751, 9456, 1.89271, 0, 731373
4997, 6, 1, 1, 1, 0.600691, 9457, 1.89254, 0, 731500
4998, 1, 3, 0, 0, 0.600631, 9460, 1.89276, 0.13, 731796
4999, 4, 0, 0, 0, 0.60057, 9460, 1.89238, 0.12, 732100
5000, 1, 3, 1, 0, 0.60051, 9463, 1.8926, 0.12, 732481
5001, 1, 1, 0, 0, 0.60045, 9464, 1.89242, 0.13, 732710
5002, 0, 0, 1, 0, 0.60045, 9464, 1.89204, 0.13, 732807
5003, 5, 1, 0, 0, 0.60045, 9465, 1.89186, 0.12, 733038
5004, 6, 3, 0, 0, 0.60045, 9468, 1.89209, 0.13, 733091
5005, 4, 3, 0, 0, 0.60045, 9471, 1.89231, 0.13, 733154
5006, 4, 0, 0, 0, 0.60045, 9471, 1.89193, 0.12, 733053
5007, 0, 0, 1, 0, 0.60045, 9471, 1.89155, 0.13, 733109
5008, 6, 1, 0, 0, 0.60045, 9472, 1.89137, 0.13, 733199
5009, 5, 4, 1, 0, 0.60045, 9476, 1.89179, 0.13, 733266
5010, 1, 3, 1, 0, 0.60045, 9479, 1.89202, 0.13, 733405
[...]
9990, 6, 3, 0, 0, 0.60045, 19238, 1.92573, 0.13, 783590
9991, 6, 3, 0, 0, 0.60045, 19241, 1.92583, 0.13, 783650
9992, 2, 3, 0, 0, 0.60045, 19244, 1.92594, 0.12, 783691
9993, 1, 4, 0, 0, 0.60045, 19248, 1.92615, 0.13, 783631
9994, 1, 4, 0, 0, 0.60045, 19252, 1.92636, 0.13, 783623
9995, 2, 0, 1, 0, 0.60045, 19252, 1.92616, 0.13, 783753
9996, 4, 1, 1, 0, 0.60045, 19253, 1.92607, 0.13, 783670
9997, 2, 1, 0, 0, 0.60045, 19254, 1.92598, 0.13, 783423
9998, 1, 4, 0, 0, 0.60045, 19258, 1.92619, 0.13, 783392
9999, 6, 0, 1, 0, 0.60045, 19258, 1.92599, 0.12, 783492
10000, 0, 3, 1, 0, 0.60045, 19261, 1.9261, 0.13, 783595
10001, 4, 1, 0, 0, 0.60045, 19262, 1.92601, 0.13, 783793
