cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 2, 1, 0.9, 0, 0, 0, 1
2, 0, 1, 1, 0, 0.89991, 1, 0.5, 0, 1
3, 0, 0, 1, 1, 0.89982, 1, 0.333333, 0, 1
4, 0, 0, 0, 1, 0.89973, 1, 0.25, 0, 1
5, 0, 0, 3, 1, 0.89964, 1, 0.2, 0, 1
6, 0, 0, 0, 0, 0.89955, 1, 0.166667, 0.02, 1
7, 0, 0, 2, 1, 0.89946, 1, 0.142857, 0, 1
8, 0, 0, 1, 1, 0.89937, 1, 0.125, 0, 1
9, 0, 0, 0, 1, 0.89928, 1, 0.111111, 0, 1
10, 0, 0, 1, 1, 0.89919, 1, 0.1, 0, 1
[...]
4990, 0, 0, 3, 1, 0.546465, 265, 0.0531062, 0, 778702
4991, 0, 0, 3, 1, 0.54641, 265, 0.0530956, 0, 778863
4992, 0, 0, 2, 1, 0.546355, 265, 0.0530849, 0, 779016
4993, 0, 1, 3, 0, 0.546301, 266, 0.0532746, 0.54, 778875
4994, 0, 0, 2, 0, 0.546246, 266, 0.0532639, 0.54, 779012
4995, 0, 0, 2, 1, 0.546192, 266, 0.0532533, 0, 779159
4996, 0, 0, 3, 0, 0.546137, 266, 0.0532426, 0.54, 778617
4997, 0, 0, 2, 0, 0.546082, 266, 0.0532319, 0.55, 778496
4998, 0, 1, 0, 1, 0.546028, 267, 0.0534214, 0, 778634
4999, 0, 0, 0, 1, 0.545973, 267, 0.0534107, 0, 778775
5000, 0, 0, 3, 0, 0.545919, 267, 0.0534, 0.54, 778699
5001, 0, 0, 2, 0, 0.545864, 267, 0.0533893, 0.54, 778717
5002, 0, 0, 2, 0, 0.545864, 267, 0.0533786, 0.55, 778435
5003, 0, 0, 2, 0, 0.545864, 267, 0.053368, 0.54, 778076
5004, 0, 1, 1, 0, 0.545864, 268, 0.0535572, 0.54, 778641
5005, 0, 0, 3, 0, 0.545864, 268, 0.0535465, 0.54, 778748
5006, 0, 0, 3, 0, 0.545864, 268, 0.0535358, 0.54, 778939
5007, 0, 0, 2, 0, 0.545864, 268, 0.0535251, 0.55, 779197
5008, 0, 0, 2, 0, 0.545864, 268, 0.0535144, 0.54, 779005
5009, 0, 0, 2, 0, 0.545864, 268, 0.0535037, 0.54, 778699
5010, 0, 0, 3, 0, 0.545864, 268, 0.053493, 0.54, 778117
[...]
9990, 0, 1, 2, 0, 0.545864, 1397, 0.13984, 0.55, 799395
9991, 0, 0, 3, 0, 0.545864, 1397, 0.139826, 0.55, 799336
9992, 0, 0, 3, 0, 0.545864, 1397, 0.139812, 0.55, 799260
9993, 0, 0, 2, 0, 0.545864, 1397, 0.139798, 0.55, 798946
9994, 0, 0, 2, 0, 0.545864, 1397, 0.139784, 0.55, 798602
9995, 0, 0, 3, 0, 0.545864, 1397, 0.13977, 0.54, 798108
9996, 0, 1, 3, 0, 0.545864, 1398, 0.139856, 0.54, 799058
9997, 0, 0, 3, 0, 0.545864, 1398, 0.139842, 0.54, 799755
9998, 0, 0, 2, 0, 0.545864, 1398, 0.139828, 0.54, 799888
9999, 0, 0, 3, 0, 0.545864, 1398, 0.139814, 0.54, 799672
10000, 0, 0, 2, 0, 0.545864, 1398, 0.1398, 0.54, 799418
10001, 0, 1, 2, 0, 0.545864, 1399, 0.139886, 0.54, 799573
