cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 1, 1, 0.9999, 0, 0, 0, 1
2, 33006, 199, 1, 1, 0.99989, 199, 99.5, 0, 1
3, 41194, 199, 1, 1, 0.99988, 398, 132.667, 0, 1
4, 8442, 209, 0, 1, 0.99987, 607, 151.75, 0, 848
5, 16624, 209, 2, 1, 0.99986, 816, 163.2, 0, 3031
6, 8442, 199, 3, 1, 0.99985, 1015, 169.167, 0, 5140
7, 41194, 199, 3, 1, 0.99984, 1214, 173.429, 0, 7254
8, 33006, 199, 0, 1, 0.99983, 1413, 176.625, 0, 9350
9, 33006, 189, 2, 1, 0.99982, 1602, 178, 0, 11419
10, 16608, 209, 0, 1, 0.99981, 1811, 181.1, 0, 13538
[...]
4990, 41194, 199, 3, 1, 0.951239, 962711, 192.928, 0, 4249786
4991, 8426, 199, 0, 1, 0.951229, 962910, 192.929, 0, 4250676
4992, 16608, 199, 0, 1, 0.95122, 963109, 192.93, 0, 4251137
4993, 33002, 199, 3, 1, 0.95121, 963308, 192.932, 0, 4251390
4994, 41194, 199, 2, 1, 0.951201, 963507, 192.933, 0, 4251390
4995, 41194, 189, 2, 1, 0.951191, 963696, 192.932, 0, 4251390
4996, 41194, 189, 2, 1, 0.951182, 963885, 192.931, 0, 4251390
4997, 41194, 189, 1, 1, 0.951172, 964074, 192.931, 0, 4251464
4998, 33002, 199, 1, 1, 0.951163, 964273, 192.932, 0, 4251464
4999, 41194, 199, 0, 1, 0.951153, 964472, 192.933, 0, 4252079
5000, 41194, 189, 2, 1, 0.951144, 964661, 192.932, 0, 4252763
5001, 41194, 189, 0, 0, 0.951134, 964850, 192.931, 2.24, 4252659
5002, 41194, 189, 4, 0, 0.951134, 965039, 192.931, 2.24, 4252514
5003, 41194, 189, 2, 0, 0.951134, 965228, 192.93, 2.24, 4252399
5004, 41194, 189, 0, 0, 0.951134, 965417, 192.929, 2.25, 4251847
5005, 41194, 189, 4, 0, 0.951134, 965606, 192.928, 2.26, 4251457
5006, 41194, 189, 2, 0, 0.951134, 965795, 192.927, 2.25, 4252496
5007, 41194, 189, 2, 0, 0.951134, 965984, 192.927, 2.25, 4252823
5008, 41194, 189, 3, 0, 0.951134, 966173, 192.926, 2.25, 4253040
5009, 33002, 199, 0, 0, 0.951134, 966372, 192.927, 2.25, 4253989
5010, 33002, 189, 4, 0, 0.951134, 966561, 192.926, 2.25, 4254474
[...]
9990, 41194, 199, 1, 0, 0.951134, 1.92757e+06, 192.95, 2.26, 4815934
9991, 33006, 199, 3, 0, 0.951134, 1.92777e+06, 192.951, 2.26, 4815217
9992, 41194, 199, 1, 0, 0.951134, 1.92797e+06, 192.951, 2.26, 4815377
9993, 33006, 199, 1, 0, 0.951134, 1.92817e+06, 192.952, 2.27, 4815462
9994, 41194, 199, 2, 0, 0.951134, 1.92837e+06, 192.952, 2.27, 4814152
9995, 41194, 189, 4, 0, 0.951134, 1.92856e+06, 192.952, 2.26, 4812744
9996, 41194, 189, 4, 0, 0.951134, 1.92874e+06, 192.952, 2.26, 4811794
9997, 41194, 189, 2, 0, 0.951134, 1.92893e+06, 192.951, 2.26, 4812097
9998, 41194, 189, 2, 0, 0.951134, 1.92912e+06, 192.951, 2.26, 4811503
9999, 41194, 189, 1, 0, 0.951134, 1.92931e+06, 192.95, 2.26, 4810700
10000, 10490, 199, 3, 0, 0.951134, 1.92951e+06, 192.951, 2.25, 4810621
10001, 41194, 199, 0, 0, 0.951134, 1.92971e+06, 192.952, 2.27, 4810703
