cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 1, 0, 1, 1, 0.999, 0, 0, 0, 1
2, 0, 2, 2, 1, 0.99899, 2, 1, 0, 1
3, 1, 2, 0, 1, 0.99898, 4, 1.33333, 0, 1
4, 0, 1, 2, 1, 0.99897, 5, 1.25, 0, 1
5, 1, 2, 1, 1, 0.99896, 7, 1.4, 0, 1
6, 2, 0, 0, 1, 0.99895, 7, 1.16667, 0, 62
7, 0, 1, 1, 1, 0.99894, 8, 1.14286, 0, 182
8, 2, 0, 0, 1, 0.99893, 8, 1, 0, 289
9, 0, 1, 2, 1, 0.99892, 9, 1, 0, 375
10, 2, 1, 1, 1, 0.99891, 10, 1, 0, 494
[...]
4990, 1, 1, 2, 1, 0.950382, 5036, 1.00922, 0, 249866
4991, 1, 2, 1, 1, 0.950373, 5038, 1.00942, 0, 249901
4992, 0, 2, 1, 1, 0.950363, 5040, 1.00962, 0, 249955
4993, 0, 2, 0, 1, 0.950354, 5042, 1.00981, 0, 250006
4994, 0, 1, 2, 1, 0.950344, 5043, 1.00981, 0, 250062
4995, 1, 2, 0, 1, 0.950335, 5045, 1.01001, 0, 250100
4996, 1, 0, 2, 1, 0.950325, 5045, 1.00981, 0, 250129
4997, 0, 0, 0, 1, 0.950316, 5045, 1.00961, 0, 250163
4998, 0, 1, 1, 1, 0.950306, 5046, 1.0096, 0, 250176
4999, 0, 2, 2, 1, 0.950297, 5048, 1.0098, 0, 250212
5000, 1, 2, 1, 1, 0.950287, 5050, 1.01, 0, 250248
5001, 1, 1, 0, 0, 0.950278, 5051, 1.01, 0.14, 250226
5002, 2, 2, 1, 0, 0.950278, 5053, 1.0102, 0.14, 250480
5003, 1, 1, 1, 0, 0.950278, 5054, 1.01019, 0.14, 250733
5004, 0, 2, 0, 0, 0.950278, 5056, 1.01039, 0.14, 250870
5005, 1, 0, 1, 0, 0.950278, 5056, 1.01019, 0.14, 250905
5006, 0, 2, 1, 0, 0.950278, 5058, 1.01039, 0.14, 251029
5007, 1, 1, 1, 0, 0.950278, 5059, 1.01039, 0.13, 251038
5008, 1, 1, 0, 0, 0.950278, 5060, 1.01038, 0.14, 251027
5009, 0, 1, 0, 0, 0.950278, 5061, 1.01038, 0.14, 251004
5010, 2, 2, 1, 0, 0.950278, 5063, 1.01058, 0.13, 251149
[...]
9990, 2, 2, 2, 0, 0.950278, 10557, 1.05676, 0.13, 269705
9991, 2, 1, 0, 0, 0.950278, 10558, 1.05675, 0.13, 269923
9992, 1, 0, 0, 0, 0.950278, 10558, 1.05665, 0.14, 269888
9993, 2, 2, 2, 0, 0.950278, 10560, 1.05674, 0.13, 269759
9994, 1, 2, 2, 0, 0.950278, 10562, 1.05683, 0.14, 269932
9995, 1, 2, 1, 0, 0.950278, 10564, 1.05693, 0.14, 270121
9996, 1, 1, 0, 0, 0.950278, 10565, 1.05692, 0.14, 270013
9997, 2, 2, 1, 0, 0.950278, 10567, 1.05702, 0.13, 270151
9998, 2, 0, 1, 0, 0.950278, 10567, 1.05691, 0.13, 270212
9999, 2, 0, 1, 0, 0.950278, 10567, 1.05681, 0.13, 270063
10000, 0, 2, 2, 0, 0.950278, 10569, 1.0569, 0.13, 270064
10001, 2, 1, 0, 0, 0.950278, 10570, 1.05689, 0.14, 270056
