cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 7, 1, 0.9999, 0, 0, 0, 1
2, 32772, 3, 7, 1, 0.999899, 3, 1.5, 0, 1
3, 0, 0, 3, 1, 0.999898, 3, 1, 0, 344
4, 33792, 3, 4, 1, 0.999897, 6, 1.5, 0, 1587
5, 34056, 3, 4, 1, 0.999896, 9, 1.8, 0, 2788
6, 0, 0, 0, 1, 0.999895, 9, 1.5, 0, 3857
7, 66048, 3, 8, 1, 0.999894, 12, 1.71429, 0, 4956
8, 66057, 3, 1, 1, 0.999893, 15, 1.875, 0, 6155
9, 82473, 3, 3, 1, 0.999892, 18, 2, 0, 7353
10, 0, 1, 4, 1, 0.999891, 19, 1.9, 0, 8432
[...]
4989, 2064, 3, 5, 1, 0.994925, 11093, 2.22349, 0, 3384404
4990, 2640, 3, 4, 1, 0.994924, 11096, 2.22365, 0, 3384419
4991, 0, 0, 6, 1, 0.994923, 11096, 2.2232, 0, 3384419
4992, 528, 3, 8, 1, 0.994922, 11099, 2.22336, 0, 3384419
4993, 8721, 3, 4, 1, 0.994921, 11102, 2.22351, 0, 3384694
4994, 0, 0, 7, 1, 0.99492, 11102, 2.22307, 0, 3385414
4995, 6, 3, 6, 1, 0.994919, 11105, 2.22322, 0, 3385900
4996, 8214, 3, 5, 1, 0.994918, 11108, 2.22338, 0, 3386723
4997, 41046, 3, 1, 1, 0.994917, 11111, 2.22353, 0, 3387704
4998, 0, 0, 0, 1, 0.994916, 11111, 2.22309, 0, 3388439
4999, 65568, 3, 5, 1, 0.994915, 11114, 2.22324, 0, 3388879
5000, 65640, 3, 0, 1, 0.994914, 11117, 2.2234, 0, 3389547
5001, 0, 0, 2, 0, 0.994913, 11117, 2.22296, 3.01, 3396619
5002, 4098, 3, 5, 0, 0.994913, 11120, 2.22311, 3.02, 3401279
5003, 4194, 3, 8, 0, 0.994913, 11123, 2.22327, 3.03, 3407675
5004, 0, 0, 0, 0, 0.994913, 11123, 2.22282, 3.03, 3413714
5005, 65664, 3, 8, 0, 0.994913, 11126, 2.22298, 3.03, 3418330
5006, 65697, 3, 7, 0, 0.994913, 11129, 2.22313, 3.04, 3422913
5007, 66213, 3, 6, 0, 0.994913, 11132, 2.22329, 3.04, 3426208
5008, 0, 0, 0, 0, 0.994913, 11132, 2.22284, 3.04, 3430530
5009, 65538, 3, 5, 0, 0.994913, 11135, 2.223, 3.03, 3433908
5010, 98370, 3, 1, 0, 0.994913, 11138, 2.22315, 3.05, 3436861
[...]
9990, 131073, 3, 8, 0, 0.994913, 22500, 2.25225, 3.08, 3815402
9991, 0, 0, 6, 0, 0.994913, 22500, 2.25203, 3.08, 3815792
9992, 144, 3, 4, 0, 0.994913, 22503, 2.2521, 3.08, 3817629
9993, 402, 3, 3, 0, 0.994913, 22506, 2.25218, 3.08, 3817957
9994, 132498, 3, 1, 0, 0.994913, 22509, 2.25225, 3.09, 3816709
9995, 148890, 3, 4, 0, 0.994913, 22512, 2.25233, 3.09, 3817519
9996, 0, 0, 0, 0, 0.994913, 22512, 2.2521, 3.08, 3818196
9997, 67584, 3, 8, 0, 0.994913, 22515, 2.25218, 3.08, 3817452
9998, 68097, 3, 5, 0, 0.994913, 22518, 2.25225, 3.09, 3816747
9999, 76353, 3, 8, 0, 0.994913, 22521, 2.25233, 3.09, 3817594
10000, 0, 0, 2, 0, 0.994913, 22521, 2.2521, 3.08, 3817695
10001, 36864, 3, 5, 0, 0.994913, 22524, 2.25217, 3.09, 3818017
