cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 1, 1, 0.99, 0, 0, 0, 1
2, 0, 110, 2, 1, 0.989901, 110, 55, 0, 1
3, 0, 0, 0, 1, 0.989802, 110, 36.6667, 0, 31
4, 1, 99, 2, 1, 0.989703, 209, 52.25, 0, 275
5, 0, 110, 1, 1, 0.989604, 319, 63.8, 0, 517
6, 0, 110, 0, 1, 0.989505, 429, 71.5, 0, 739
7, 2, 99, 1, 1, 0.989406, 528, 75.4286, 0, 943
8, 0, 110, 0, 1, 0.989307, 638, 79.75, 0, 1152
9, 1, 99, 2, 1, 0.989208, 737, 81.8889, 0, 1278
10, 0, 110, 1, 1, 0.989109, 847, 84.7, 0, 1377
[...]
4990, 0, 0, 0, 0, 0.601111, 384890, 77.1323, 0.37, 23036
4991, 2, 99, 0, 1, 0.601051, 384989, 77.1366, 0, 23036
4992, 2, 99, 1, 1, 0.600991, 385088, 77.141, 0, 23036
4993, 0, 110, 1, 1, 0.600931, 385198, 77.1476, 0, 23036
4994, 0, 0, 0, 1, 0.600871, 385198, 77.1322, 0, 23036
4995, 1, 99, 0, 0, 0.600811, 385297, 77.1365, 0.37, 23006
4996, 2, 99, 2, 1, 0.600751, 385396, 77.1409, 0, 23006
4997, 0, 110, 0, 0, 0.600691, 385506, 77.1475, 0.36, 22972
4998, 1, 99, 1, 1, 0.600631, 385605, 77.1519, 0, 22972
4999, 0, 0, 0, 0, 0.60057, 385605, 77.1364, 0.37, 22919
5000, 2, 99, 1, 1, 0.60051, 385704, 77.1408, 0, 22919
5001, 0, 110, 0, 0, 0.60045, 385814, 77.1474, 0.36, 22936
5002, 1, 99, 2, 0, 0.60045, 385913, 77.1517, 0.37, 22882
5003, 0, 0, 0, 0, 0.60045, 385913, 77.1363, 0.36, 22951
5004, 1, 99, 0, 0, 0.60045, 386012, 77.1407, 0.36, 22941
5005, 1, 99, 2, 0, 0.60045, 386111, 77.1451, 0.36, 22948
5006, 0, 110, 0, 0, 0.60045, 386221, 77.1516, 0.37, 22941
5007, 2, 99, 0, 0, 0.60045, 386320, 77.156, 0.36, 22918
5008, 2, 99, 0, 0, 0.60045, 386419, 77.1603, 0.36, 22927
5009, 2, 99, 0, 0, 0.60045, 386518, 77.1647, 0.37, 22884
5010, 1, 99, 0, 0, 0.60045, 386617, 77.1691, 0.36, 22928
[...]
9990, 1, 99, 0, 0, 0.60045, 882915, 88.3799, 0.37, 22930
9991, 1, 99, 0, 0, 0.60045, 883014, 88.3809, 0.36, 22957
9992, 1, 99, 0, 0, 0.60045, 883113, 88.382, 0.36, 22934
9993, 1, 99, 2, 0, 0.60045, 883212, 88.3831, 0.36, 22930
9994, 0, 110, 0, 0, 0.60045, 883322, 88.3852, 0.37, 22889
9995, 1, 99, 0, 0, 0.60045, 883421, 88.3863, 0.36, 22865
9996, 1, 99, 2, 0, 0.60045, 883520, 88.3874, 0.37, 22913
9997, 0, 110, 0, 0, 0.60045, 883630, 88.3895, 0.36, 22925
9998, 1, 99, 0, 0, 0.60045, 883729, 88.3906, 0.37, 22888
9999, 1, 99, 0, 0, 0.60045, 883828, 88.3916, 0.36, 22886
10000, 1, 99, 2, 0, 0.60045, 883927, 88.3927, 0.37, 22926
10001, 0, 110, 0, 0, 0.60045, 884037, 88.3949, 0.36, 22871
